wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
246.813	-11	1928	2.90853801441972	0.00284114689931476	350.0268	4.63948612599278	3.56078146465366E-8	1	1.02245073990822	-11	2.90569686752041	4.74364598590799	-2.31889142500891
247.37	24	2121						1		24			5.05939947274672
247.927	46	1998						1		46			9.69718232276455
248.484	15	1911						1		15			3.1621246704667
249.041	-11	2346						1		-11			-2.31889142500891
249.599	59	2088						1		59			12.4376903705024
250.156	11	1999						1.16106412601471		12.7717053861618			2.69238164570098
250.713	17	2152						1.13822174286842		19.3497696287632			4.07909226073063
251.27	17	2227						1.12052266716957		19.0488853418827			4.01566335229725
251.828	23	2192						1.10826877641678		25.4901818575859			5.37354219377034
252.385	27	2268						1.10366418600082		29.7989330220223			6.28186275083476
252.943	7	2214						1.10246498537064		7.71725489759445			1.62686147333089
253.501	26	2080						1.09855073833466		28.5623191967011			6.02117427850887
254.058	-35	2335						1.09527892827988		-38.3347624897957			-8.08128654703096
254.616	-6	2217						1.10013546466827		-6.60081278800964			-1.39150619747316
255.174	-13	2064						1.10681036424637		-14.3885347352028			-3.03322271053679
255.732	-7	2621						1.11749820327759		-7.82248742294312			-1.64904536430026
256.29	-37	2381						1.12314307689667		-41.5562938451767			-8.76041213206645
256.847	29	2223						1.12412579059601		32.5996479272842			6.87227673062628
257.406	-1	2159						1.12686383366585		-1.12686383366585			-0.237552261912764
257.964	43	2408						1.13025595903397		48.6010062384605			10.2454960557428
258.522	-17	2466						1.13670450019836		-19.3239765033722			-4.07365485552214
259.08	-2	2403						1.14293361663818		-2.28586723327637			-0.481879811450311
259.638	23	2246						1.14659221625328		26.3716209738255			5.55935688543537
260.196	3	2278						1.15155241107941		3.45465723323822			0.728270457681921
260.755	-25	2456						1.15892976999283		-28.9732442498207			-6.10780069505437
261.313	-37	2768						1.16595356678963		-43.1402819712162			-9.09432999413817
261.872	51	2567						1.17272305393219		59.8088757505417			12.6082081015777
262.43	-14	2272						1.18088818430901		-16.5324345803261			-3.48517461662173
262.989	22	2397						1.18948775064945		26.1687305142879			5.51658589026831
263.548	22	2348						1.19876344823837		26.3727958612442			5.55960456146816
264.106	-41	2624						1.20634280085564		-49.4600548350811			-10.4265906397764
264.665	75	2546						1.20670231282711		90.5026734620333			19.0787157664992
265.224	5	2656						1.20895893096924		6.04479465484619			1.27429295373296
265.783	20	2775						1.21405273914337		24.2810547828674			5.11864815692391
266.342	8	2429						1.22082653927803		9.76661231422424			2.05888304971282
266.901	-6	2265						1.2286662992239		-7.3719977953434			-1.55407840661877
267.46	-70	2472						1.23352296590805		-86.3466076135635			-18.2025825430638
268.019	57	2753						1.23761357080936		70.5439735361338			14.8712559380906
268.578	44	2755						1.23817859435081		54.4798581514358			11.4848069002788
269.137	-9	2443						1.23958827567101		-11.156294481039			-2.35183960063234
269.697	-12	2391						1.24360692572594		-14.9232831087112			-3.14595211216099
270.256	7	2537						1.24623894405365		8.72367260837555			1.83902269146793
270.815	50	2359						1.24723824739456		62.3619123697281			13.14640944012
271.375	43	2707						1.24654181301594		53.6012979596853			11.2995991098238
271.934	74	2518						1.24501067185402		92.1307897171974			19.4219362049553
272.494	69	3058						1.24005838036537		85.5640282452106			18.0376083079127
273.054	53	2339						1.23563554692268		65.4886839869022			13.8055588847587
273.613	31	2555						1.2404448775053		38.4537912026644			8.10637878899469
274.173	34	2815						1.24277453911304		42.2543343298435			8.90756486790308
274.733	-8	2668						1.23953794968128		-9.91630359745026			-2.09043921635568
275.293	74	2800						1.23901756119728		91.6872995285988			19.3284447871901
275.853	21	2731						1.24097234559059		26.0604192574024			5.49375297710251
276.413	42	3011						1.24171603667736		52.1520735404491			10.9940905572165
276.973	32	2198						1.24202866065502		39.7449171409607			8.37855886780578
277.533	49	2376						1.23850349259377		60.6866711370945			12.7932546647404
278.093	61	2360						1.23489812755585		75.3287857809067			15.8799341276071
278.653	37	2579						1.23186628246307		45.5790524511337			9.60844308081504
279.213	92	2555						1.22861485099792		113.032566291809			23.8282044291661
279.774	57	2640						1.22499924468994		69.8249569473267			14.7196812651611
280.334	17	2757						1.221560734272		20.7665324826241			4.37775764555691
280.895	26	2289						1.21823176026344		31.6740257668495			6.67714788602352
281.455	45	2567						1.21177949309349		54.5300771892071			11.4953934908297
282.016	76	2603						1.20476660728455		91.5622621536255			19.3020858693146
282.576	86	2801						1.20369348526001		103.517639732361			21.8223788284121
283.137	86	2671						1.20076382219791		103.265688709021			21.7692654586352
283.698	88	2959						1.19209429860115		104.904298276901			22.1146979746258
284.258	37	2903						1.18515868926048		43.8508715026379			9.24412817333043
284.819	-12	2819						1.18022581827641		-14.1627098193169			-2.98561694135486
285.38	31	2563						1.17568016767502		36.4460851979256			7.68313767641945
285.941	33	2582						1.17131895625591		38.6535255564451			8.14848445083668
286.502	41	2542						1.16294825959206		47.6808786432743			10.0515255111618
287.063	66	2787						1.15443401300907		76.1926448585987			16.0620428010322
287.624	68	2862						1.14851003360748		78.0986822853088			16.4638513323544
288.185	83	2442						1.14264548897743		94.8395755851269			19.9929707796214
288.747	26	2564						1.13689150309563		29.5591790804863			6.23132062727659
289.308	82	2521						1.13274499511719		92.8850895996094			19.580948889429
289.869	92	2626						1.1299105052948		103.951766487122			21.9138963565014
290.431	88	2844						1.12174648463726		98.7136906480789			20.8096664340739
290.992	106	2568						1.11198152542114		117.870041694641			24.8479844501042
291.554	111	2633						1.10611221122742		122.778455446243			25.8827188645575
292.115	55	2515						1.10090053856373		60.5495296210051			12.7643440933156
292.677	73	2828						1.09797490680218		80.1521681965589			16.8967432297157
293.238	123	2645						1.09425345945358		134.593175512791			28.37336005103
293.8	40	2364						1.08943634033203		43.5774536132812			9.18648940977833
294.362	78	2626						1.08216683602333		84.4090132098198			17.7941215387014
294.924	45	2471						1.07354242277145		48.3094090247154			10.1840249395146
295.486	79	2500						1.07021188545227		84.5467389507294			17.823155269574
296.048	74	2922						1.06765071773529		79.0061531124115			16.6551537250284
296.61	107	2681						1.06446333408356		113.897576746941			24.010555822525
297.172	121	2692						1.06088938856125		128.367616015911			27.0609603661939
297.734	86	2594						1.05643893647194		90.8537485365868			19.1527253101279
298.296	38	2705						1.05258993339539		39.9984174690247			8.43199884389528
298.858	105	2416						1.04928142166138		110.174549274445			23.2257106878847
299.42	107	2950						1.04658929586411		111.985054657459			23.6073802703943
299.983	107	2624						1.04410114777088		111.718822811484			23.5512563845128
300.545	116	2713						1.03973058760166		120.608748161793			25.4253265357673
301.108	105	2546						1.03592858791351		108.772501730919			22.9301474127814
301.67	157	2637						1.03480507135391		162.464396202564			34.248845020307
302.233	79	2540						1.03215463840961		81.5402164343596			17.1893553348188
302.795	113	2825						1.02735299527645		116.090888466239			24.4729241623662
303.358	143	2535						1.02441845917702		146.491839662313			30.8816973478836
303.921	89	2397						1.02255796897411		91.0076592386961			19.1851709653405
304.484	87	2578						1.02262341451645		88.9682370629311			18.7552438203083
305.046	187	2456						1.02276504135132		191.257062732697			40.3185784312038
305.609	154	2895						1.02023803377151		157.116657200813			33.1214971917301
306.172	122	2798						1.01816605091095		124.216258211136			26.1858196374996
306.735	178	2899						1.01712845563889		181.048865103722			38.1666055269651
307.298	261	2725						1.01541724729538		265.023901544094			55.8692411557278
307.861	226	2573						1.01310702061653		228.962186659336			48.2671319359659
308.425	252	2566						1.00954346954823		254.404954326153			53.6306788242455
308.988	244	2489						1.00557839250565		245.361127771378			51.7241650199604
309.551	313	2654						1.00598060011864		314.871927837133			66.377619403414
310.114	366	2487						1.00585475802422		368.142841436863			77.6075707442143
310.678	363	2679						1.00326994538307		364.186990174055			76.7736444194929
311.241	392	2641						1.00046417528391		392.181956711292			82.6752160419121
311.805	500	2606						0.997351541817188		498.675770908594			105.124997183604
312.368	513	2597						0.996108904361725		511.003867937565			107.723862500619
312.932	561	2418						0.995853784799576		558.673973272562			117.773116908855
313.496	581	2699						0.995254009246826		578.242579372406			121.898341716519
314.059	632	2654						0.994180660367012		628.322177351952			132.455537200397
314.623	681	2768						0.989447316765785		673.8136227175			142.045511979437
315.187	778	2706						0.986438470602035		767.449130128384			161.784655180478
315.751	783	2404						0.986906285047531		772.747621192217			162.901621134424
316.315	882	2583						0.985378924906254		869.104211767316			183.214391282396
316.879	965	2628						0.982274426758289		947.894821821749			199.824106739346
